Model 1 (k=100),Model 2 (k=300),Model 3 (k=500),Model 4 (k=700),Model 5 (k=1000)
3.0,19.0,11.0,7.0,29.0
7.0,13.0,13.0,10.0,29.0
9.0,15.0,22.0,5.0,20.0
8.0,18.0,16.0,7.0,36.0
5.0,24.0,20.0,12.0,43.0
7.0,21.0,10.0,8.0,53.0
5.0,20.0,29.0,16.0,48.0
7.0,20.0,26.0,16.0,56.0
10.0,26.0,27.0,16.0,72.0
10.0,29.0,22.0,21.0,63.0
13.0,29.0,21.0,21.0,62.0
17.0,33.0,31.0,16.0,79.0
21.0,35.0,40.0,22.0,92.0
18.0,25.0,39.0,30.0,87.0
26.0,34.0,44.0,28.0,115.0
29.0,38.0,44.0,31.0,124.0
27.0,39.0,52.0,30.0,126.0
35.0,33.0,57.0,38.0,142.0
28.0,45.0,73.0,41.0,138.0
31.0,39.0,72.0,43.0,161.0
40.0,47.0,59.0,55.0,184.0
56.0,48.0,82.0,47.0,204.0
33.0,45.0,69.0,66.0,213.0
42.0,55.0,84.0,64.0,195.0
37.0,66.0,72.0,66.0,252.0
60.0,57.0,76.0,90.0,263.0
54.0,76.0,93.0,74.0,256.0
42.0,72.0,107.0,75.0,283.0
44.0,71.0,113.0,109.0,328.0
55.0,75.0,126.0,89.0,321.0
58.0,79.0,131.0,118.0,360.0
69.0,92.0,140.0,126.0,361.0
68.0,80.0,125.0,130.0,378.0
75.0,112.0,148.0,141.0,451.0
66.0,97.0,168.0,147.0,474.0
75.0,100.0,153.0,180.0,460.0
85.0,122.0,182.0,184.0,519.0
93.0,128.0,204.0,192.0,543.0
73.0,126.0,225.0,203.0,543.0
87.0,143.0,184.0,228.0,555.0
95.0,131.0,225.0,208.0,630.0
92.0,138.0,215.0,258.0,648.0
93.0,137.0,255.0,241.0,675.0
89.0,147.0,248.0,276.0,698.0
89.0,170.0,239.0,302.0,726.0
107.0,169.0,249.0,291.0,713.0
103.0,175.0,290.0,325.0,762.0
90.0,180.0,266.0,345.0,759.0
119.0,156.0,303.0,408.0,820.0
100.0,173.0,287.0,345.0,840.0
82.0,179.0,323.0,401.0,803.0
106.0,204.0,308.0,401.0,819.0
89.0,188.0,321.0,414.0,824.0
98.0,218.0,346.0,475.0,866.0
94.0,206.0,356.0,497.0,884.0
99.0,211.0,368.0,461.0,872.0
101.0,216.0,358.0,487.0,918.0
90.0,235.0,393.0,462.0,921.0
99.0,210.0,409.0,494.0,937.0
91.0,245.0,365.0,547.0,912.0
80.0,245.0,365.0,521.0,914.0
83.0,237.0,426.0,546.0,906.0
105.0,225.0,386.0,581.0,935.0
101.0,265.0,387.0,534.0,908.0
92.0,237.0,406.0,555.0,901.0
112.0,250.0,397.0,585.0,920.0
107.0,258.0,410.0,571.0,905.0
96.0,260.0,426.0,661.0,985.0
102.0,250.0,441.0,625.0,997.0
109.0,226.0,414.0,591.0,1036.0
76.0,273.0,469.0,658.0,993.0
102.0,276.0,416.0,633.0,963.0
96.0,293.0,425.0,646.0,933.0
95.0,261.0,443.0,651.0,934.0
107.0,248.0,434.0,635.0,992.0
100.0,279.0,423.0,642.0,913.0
84.0,292.0,449.0,682.0,963.0
94.0,256.0,471.0,656.0,993.0
93.0,289.0,471.0,626.0,1001.0
73.0,283.0,454.0,702.0,1033.0
87.0,282.0,480.0,631.0,974.0
94.0,279.0,482.0,682.0,987.0
98.0,295.0,491.0,693.0,968.0
96.0,294.0,492.0,676.0,998.0
80.0,287.0,454.0,671.0,1003.0
79.0,253.0,471.0,666.0,1022.0
102.0,316.0,475.0,667.0,945.0
90.0,264.0,495.0,715.0,978.0
104.0,310.0,481.0,671.0,1008.0
97.0,280.0,515.0,722.0,954.0
106.0,310.0,490.0,680.0,1011.0
100.0,290.0,481.0,699.0,995.0
93.0,279.0,468.0,702.0,987.0
105.0,294.0,497.0,655.0,981.0
94.0,272.0,455.0,690.0,934.0
107.0,289.0,488.0,666.0,1040.0
83.0,305.0,519.0,677.0,981.0
88.0,291.0,489.0,710.0,1001.0
87.0,283.0,454.0,695.0,1001.0
105.0,310.0,496.0,703.0,997.0
92.0,267.0,525.0,678.0,985.0
100.0,313.0,495.0,690.0,1019.0
89.0,301.0,498.0,729.0,1061.0
90.0,300.0,462.0,741.0,969.0
90.0,292.0,494.0,755.0,990.0
87.0,299.0,523.0,688.0,977.0
101.0,300.0,544.0,682.0,923.0
101.0,257.0,505.0,674.0,1035.0
91.0,284.0,489.0,705.0,982.0
82.0,317.0,499.0,679.0,1003.0
93.0,297.0,509.0,645.0,956.0
94.0,287.0,502.0,698.0,1009.0
100.0,294.0,494.0,698.0,995.0
76.0,313.0,457.0,705.0,1087.0
104.0,318.0,490.0,643.0,956.0
97.0,286.0,475.0,727.0,1000.0
119.0,284.0,503.0,695.0,955.0
97.0,297.0,511.0,691.0,988.0
121.0,323.0,485.0,718.0,1007.0
98.0,290.0,514.0,691.0,1036.0
98.0,301.0,483.0,748.0,1018.0
91.0,294.0,508.0,678.0,978.0
105.0,310.0,473.0,705.0,996.0
112.0,301.0,549.0,666.0,991.0
88.0,299.0,509.0,690.0,969.0
97.0,313.0,494.0,716.0,1041.0
93.0,328.0,493.0,666.0,999.0
109.0,306.0,527.0,697.0,1001.0
92.0,285.0,481.0,696.0,950.0
99.0,279.0,513.0,677.0,971.0
103.0,264.0,519.0,775.0,963.0
84.0,288.0,501.0,711.0,957.0
101.0,299.0,482.0,681.0,983.0
103.0,292.0,454.0,703.0,999.0
98.0,314.0,479.0,760.0,979.0
106.0,330.0,533.0,700.0,997.0
105.0,328.0,526.0,715.0,1010.0
88.0,297.0,503.0,736.0,1002.0
91.0,292.0,503.0,708.0,1020.0
94.0,314.0,494.0,654.0,989.0
87.0,270.0,448.0,736.0,978.0
94.0,293.0,563.0,727.0,995.0
93.0,290.0,513.0,679.0,1004.0
86.0,326.0,524.0,695.0,1001.0
104.0,285.0,503.0,696.0,1015.0
110.0,309.0,525.0,668.0,1052.0
101.0,304.0,482.0,655.0,1036.0
96.0,289.0,487.0,752.0,1005.0
89.0,296.0,490.0,710.0,1029.0
89.0,286.0,498.0,702.0,918.0
